Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,TenureGroup,WarehouseDistanceCat,RecencyStatus,Tenure_Days,Churn_Score,Churn_Risk_Level,Tenure_Bucket
9.0,8.0,3,Laptop & Accessory,4,Married,5,1,0.0,169.62,0,6-24 Months (Regular),Near,Active,270.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
12.0,36.0,4,Laptop & Accessory,2,Divorced,5,0,8.0,187.61,0,6-24 Months (Regular),Far,Active,360.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
5.0,14.0,3,Mobile Phone,4,Divorced,2,0,7.0,123.699999999999,0,0-6 Months (New),Moderate,Active,150.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
0.0,26.0,3,Laptop & Accessory,3,Single,2,0,7.0,199.81,0,0-6 Months (New),Far,Active,0.0,0.19,Low Risk (<30%),0-3 Months (High Risk)
0.0,11.0,4,Laptop & Accessory,3,Single,2,1,3.0,157.44,1,0-6 Months (New),Moderate,Active,0.0,0.8,High Risk (>70%),0-3 Months (High Risk)
12.0,7.0,4,Mobile Phone,5,Single,5,0,1.0,151.19,0,6-24 Months (Regular),Near,Active,360.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
0.0,24.0,1,Laptop & Accessory,3,Married,3,0,2.0,162.32,0,0-6 Months (New),Far,Active,0.0,0.03,Low Risk (<30%),0-3 Months (High Risk)
9.0,25.0,2,Laptop & Accessory,5,Married,3,0,11.0,177.08,0,6-24 Months (Regular),Far,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
9.0,8.0,4,Fashion,3,Married,2,0,0.0,175.96,0,6-24 Months (Regular),Near,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
2.0,8.0,3,Grocery,2,Married,8,0,3.0,221.69,1,0-6 Months (New),Near,Active,60.0,0.88,High Risk (>70%),0-3 Months (High Risk)
5.0,6.0,3,Laptop & Accessory,5,Married,5,0,2.0,140.87,0,0-6 Months (New),Near,Active,150.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
11.0,6.0,3,Laptop & Accessory,1,Married,8,0,9.0,147.35,0,6-24 Months (Regular),Near,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
5.0,16.0,3,Fashion,1,Single,3,0,3.0,212.44,0,0-6 Months (New),Moderate,Active,150.0,0.01,Low Risk (<30%),4-6 Months (Mid-High)
19.0,9.0,5,Laptop & Accessory,1,Married,3,0,10.0,182.7,0,6-24 Months (Regular),Near,Active,570.0,0.0,Low Risk (<30%),12+ Months (Loyal)
0.0,13.0,3,Mobile Phone,3,Married,4,1,7.0,133.39,1,0-6 Months (New),Moderate,Active,0.0,1.0,High Risk (>70%),0-3 Months (High Risk)
3.0,6.0,4,Fashion,3,Single,2,0,8.0,184.74,0,0-6 Months (New),Near,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
7.0,23.0,4,Laptop & Accessory,1,Married,3,1,3.0,178.68,0,6-24 Months (Regular),Far,Active,210.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
6.0,10.0,4,Laptop & Accessory,5,Married,3,0,4.0,192.25,0,0-6 Months (New),Near,Active,180.0,0.01,Low Risk (<30%),4-6 Months (Mid-High)
15.0,34.0,4,Laptop & Accessory,2,Divorced,1,0,4.0,145.23,0,6-24 Months (Regular),Far,Active,450.0,0.0,Low Risk (<30%),12+ Months (Loyal)
11.0,7.0,5,Mobile Phone,5,Married,4,0,3.0,164.2,0,6-24 Months (Regular),Near,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
6.0,21.0,3,Laptop & Accessory,1,Married,1,1,1.0,12.0,0,0-6 Months (New),Far,Active,180.0,0.21,Low Risk (<30%),4-6 Months (Mid-High)
0.0,30.0,4,Fashion,5,Single,2,0,9.0,187.22,1,0-6 Months (New),Far,Active,0.0,0.85,High Risk (>70%),0-3 Months (High Risk)
14.0,9.0,4,Laptop & Accessory,4,Married,5,0,11.0,181.77,0,6-24 Months (Regular),Near,Active,420.0,0.0,Low Risk (<30%),12+ Months (Loyal)
23.0,34.0,3,Grocery,5,Married,5,1,2.0,268.8,0,6-24 Months (Regular),Far,Active,690.0,0.0,Low Risk (<30%),12+ Months (Loyal)
27.0,30.0,4,Grocery,1,Single,8,0,9.0,267.75,0,24+ Months (Loyal),Far,Active,810.0,0.0,Low Risk (<30%),12+ Months (Loyal)
5.0,25.0,2,Mobile Phone,3,Married,7,1,2.0,127.59,1,0-6 Months (New),Far,Active,150.0,0.86,High Risk (>70%),4-6 Months (Mid-High)
13.0,7.0,3,Fashion,2,Married,2,0,3.0,221.13,0,6-24 Months (Regular),Near,Active,390.0,0.01,Low Risk (<30%),12+ Months (Loyal)
18.0,31.0,3,Others,4,Single,4,0,0.0,280.61,0,6-24 Months (Regular),Far,Active,540.0,0.0,Low Risk (<30%),12+ Months (Loyal)
1.0,6.0,3,Mobile Phone,5,Married,2,0,2.0,135.91,0,0-6 Months (New),Near,Active,30.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
8.0,16.0,3,Laptop & Accessory,3,Single,4,1,4.0,161.42,0,6-24 Months (Regular),Moderate,Active,240.0,0.05,Low Risk (<30%),7-12 Months (Moderate)
15.0,18.0,3,Mobile Phone,4,Married,9,0,4.0,127.66,0,6-24 Months (Regular),Moderate,Active,450.0,0.0,Low Risk (<30%),12+ Months (Loyal)
15.0,14.0,4,Laptop & Accessory,3,Single,8,0,2.0,175.03,0,6-24 Months (Regular),Moderate,Active,450.0,0.01,Low Risk (<30%),12+ Months (Loyal)
0.0,15.0,3,Mobile Phone,5,Single,3,1,0.0,131.72,1,0-6 Months (New),Moderate,Active,0.0,0.96,High Risk (>70%),0-3 Months (High Risk)
3.0,16.0,5,Mobile Phone,2,Single,2,0,3.0,164.83,0,0-6 Months (New),Moderate,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
10.0,15.0,2,Fashion,5,Married,11,0,6.0,242.13,0,6-24 Months (Regular),Moderate,Active,300.0,0.035,Low Risk (<30%),7-12 Months (Moderate)
1.0,14.0,4,Mobile Phone,4,Single,3,0,1.0,151.79,1,0-6 Months (New),Moderate,Active,30.0,0.84,High Risk (>70%),0-3 Months (High Risk)
28.0,26.0,4,Fashion,4,Divorced,4,0,2.0,232.25,0,24+ Months (Loyal),Far,Active,840.0,0.0,Low Risk (<30%),12+ Months (Loyal)
3.0,13.0,3,Laptop & Accessory,3,Married,2,0,9.0,134.91,0,0-6 Months (New),Moderate,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
9.0,8.0,3,Mobile Phone,3,Married,7,0,2.0,122.31,0,6-24 Months (Regular),Near,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
2.0,16.0,4,Laptop & Accessory,1,Single,3,0,8.0,177.53,0,0-6 Months (New),Moderate,Active,60.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
14.0,27.0,4,Fashion,2,Divorced,6,0,3.0,228.22,0,6-24 Months (Regular),Far,Active,420.0,0.01,Low Risk (<30%),12+ Months (Loyal)
8.0,34.0,1,Laptop & Accessory,3,Married,2,0,8.0,134.07,0,6-24 Months (Regular),Far,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
10.0,7.0,4,Laptop & Accessory,1,Single,6,0,1.0,191.53,0,6-24 Months (Regular),Near,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
31.0,14.0,2,Laptop & Accessory,1,Married,2,1,10.0,177.2,0,24+ Months (Loyal),Moderate,Active,930.0,0.0,Low Risk (<30%),12+ Months (Loyal)
1.0,15.0,3,Laptop & Accessory,2,Single,2,0,7.0,152.53,0,0-6 Months (New),Moderate,Active,30.0,0.02,Low Risk (<30%),0-3 Months (High Risk)
8.0,28.0,5,Mobile Phone,3,Single,1,0,3.0,142.3,0,6-24 Months (Regular),Far,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
10.0,31.0,3,Laptop & Accessory,3,Divorced,4,1,7.0,144.49,0,6-24 Months (Regular),Far,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
14.0,7.0,5,Grocery,4,Married,3,0,12.0,260.03,0,6-24 Months (Regular),Near,Active,420.0,0.0,Low Risk (<30%),12+ Months (Loyal)
4.0,22.0,5,Fashion,5,Married,4,0,8.0,196.4,0,0-6 Months (New),Far,Active,120.0,0.01,Low Risk (<30%),4-6 Months (Mid-High)
2.0,9.0,4,Laptop & Accessory,4,Divorced,3,1,6.0,172.79,0,0-6 Months (New),Near,Active,60.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
4.0,24.0,4,Fashion,5,Divorced,3,1,9.0,244.16,0,0-6 Months (New),Far,Active,120.0,0.21,Low Risk (<30%),4-6 Months (Mid-High)
0.0,14.0,3,Mobile Phone,1,Married,1,0,1.0,125.229999999999,0,0-6 Months (New),Moderate,Active,0.0,0.05,Low Risk (<30%),0-3 Months (High Risk)
3.0,13.0,3,Laptop & Accessory,5,Married,8,0,2.0,147.79,0,0-6 Months (New),Moderate,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
9.0,9.0,4,Fashion,1,Married,5,0,12.0,196.99,0,6-24 Months (Regular),Near,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
0.0,14.0,3,Mobile Phone,2,Divorced,6,1,4.0,124.36,1,0-6 Months (New),Moderate,Active,0.0,0.95,High Risk (>70%),0-3 Months (High Risk)
10.0,9.0,5,Fashion,3,Married,3,0,1.0,200.96,0,6-24 Months (Regular),Near,Active,300.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
9.0,12.0,3,Mobile Phone,5,Married,5,1,2.0,120.729999999999,1,6-24 Months (Regular),Moderate,Active,270.0,0.88,High Risk (>70%),7-12 Months (Moderate)
24.0,15.0,3,Others,4,Married,5,1,10.0,298.47,0,6-24 Months (Regular),Moderate,Active,720.0,0.01,Low Risk (<30%),12+ Months (Loyal)
8.0,28.0,1,Fashion,4,Married,8,0,3.0,219.959999999999,0,6-24 Months (Regular),Far,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
9.0,6.0,3,Mobile Phone,3,Single,1,0,5.0,120.58,1,6-24 Months (Regular),Near,Active,270.0,0.56,Medium Risk (30-70%),7-12 Months (Moderate)
1.0,20.0,4,Laptop & Accessory,3,Single,5,1,3.0,223.54,1,0-6 Months (New),Moderate,Active,30.0,0.99,High Risk (>70%),0-3 Months (High Risk)
0.0,8.0,3,Mobile Phone,1,Single,2,1,3.0,137.6,0,0-6 Months (New),Near,Active,0.0,0.17,Low Risk (<30%),0-3 Months (High Risk)
24.0,7.0,4,Others,2,Married,5,0,7.0,320.17,0,6-24 Months (Regular),Near,Active,720.0,0.03,Low Risk (<30%),12+ Months (Loyal)
6.0,14.0,4,Mobile Phone,4,Married,7,0,1.0,126.22,0,0-6 Months (New),Moderate,Active,180.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
9.0,9.0,4,Fashion,2,Divorced,5,0,12.0,196.99,0,6-24 Months (Regular),Near,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,7.0,4,Laptop & Accessory,1,Married,1,0,0.0,153.63,0,6-24 Months (Regular),Near,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
7.0,14.0,4,Laptop & Accessory,3,Married,3,0,9.0,184.68,0,6-24 Months (Regular),Moderate,Active,210.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,10.0,4,Mobile Phone,5,Divorced,6,0,3.0,148.62,1,6-24 Months (Regular),Near,Active,240.0,0.6,Medium Risk (30-70%),7-12 Months (Moderate)
4.0,15.0,2,Fashion,5,Divorced,2,1,8.0,239.16,0,0-6 Months (New),Moderate,Active,120.0,0.05,Low Risk (<30%),4-6 Months (Mid-High)
10.0,11.0,1,Mobile Phone,3,Single,1,0,3.0,135.0,0,6-24 Months (Regular),Moderate,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
23.0,28.0,5,Grocery,1,Single,2,1,9.0,244.11,0,6-24 Months (Regular),Far,Active,690.0,0.0,Low Risk (<30%),12+ Months (Loyal)
17.0,9.0,4,Laptop & Accessory,1,Married,3,1,9.0,203.47,0,6-24 Months (Regular),Near,Active,510.0,0.0,Low Risk (<30%),12+ Months (Loyal)
6.0,12.0,2,Mobile Phone,4,Married,2,1,6.0,157.98,0,0-6 Months (New),Moderate,Active,180.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
5.0,11.0,4,Laptop & Accessory,1,Single,9,0,0.0,196.79,0,0-6 Months (New),Moderate,Active,150.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
1.0,8.0,4,Mobile Phone,1,Married,11,1,3.0,172.87,1,0-6 Months (New),Near,Active,30.0,0.99,High Risk (>70%),0-3 Months (High Risk)
9.0,6.0,4,Fashion,5,Married,3,0,3.0,215.69,0,6-24 Months (Regular),Near,Active,270.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
9.0,16.0,3,Mobile Phone,1,Married,1,0,1.0,121.449999999999,0,6-24 Months (Regular),Moderate,Active,270.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
12.0,9.0,4,Mobile Phone,1,Single,7,1,3.0,164.44,0,6-24 Months (Regular),Near,Active,360.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
1.0,11.0,5,Laptop & Accessory,2,Single,3,1,5.0,183.28,1,0-6 Months (New),Moderate,Active,30.0,0.62,Medium Risk (30-70%),0-3 Months (High Risk)
12.0,15.0,3,Laptop & Accessory,5,Married,2,0,9.0,151.51,0,6-24 Months (Regular),Moderate,Active,360.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
0.0,14.0,5,Mobile Phone,2,Single,2,1,0.0,123.4,1,0-6 Months (New),Moderate,Active,0.0,1.0,High Risk (>70%),0-3 Months (High Risk)
24.0,10.0,4,Others,4,Married,3,0,8.0,307.0,0,6-24 Months (Regular),Near,Active,720.0,0.0,Low Risk (<30%),12+ Months (Loyal)
8.0,7.0,5,Mobile Phone,2,Divorced,3,1,4.0,161.22,0,6-24 Months (Regular),Near,Active,240.0,0.03,Low Risk (<30%),7-12 Months (Moderate)
10.0,10.0,4,Laptop & Accessory,4,Single,5,1,3.0,217.78,0,6-24 Months (Regular),Near,Active,300.0,0.07,Low Risk (<30%),7-12 Months (Moderate)
0.0,9.0,3,Mobile Phone,5,Single,2,1,7.0,133.48,1,0-6 Months (New),Near,Active,0.0,1.0,High Risk (>70%),0-3 Months (High Risk)
16.0,36.0,4,Laptop & Accessory,4,Married,3,0,9.0,169.34,0,6-24 Months (Regular),Far,Active,480.0,0.0,Low Risk (<30%),12+ Months (Loyal)
4.0,8.0,4,Mobile Phone,3,Married,2,0,4.0,145.64,0,0-6 Months (New),Near,Active,120.0,0.01,Low Risk (<30%),4-6 Months (Mid-High)
25.0,9.0,4,Grocery,5,Divorced,2,0,16.0,268.56,0,24+ Months (Loyal),Near,Active,750.0,0.0,Low Risk (<30%),12+ Months (Loyal)
12.0,25.0,6,Laptop & Accessory,1,Married,5,1,1.0,183.11,0,6-24 Months (Regular),Far,Active,360.0,0.18,Low Risk (<30%),7-12 Months (Moderate)
9.0,6.0,4,Mobile Phone,4,Single,2,1,2.0,120.699999999999,0,6-24 Months (Regular),Near,Active,270.0,0.43,Medium Risk (30-70%),7-12 Months (Moderate)
7.0,7.0,5,Mobile Phone,5,Single,5,1,3.0,152.99,0,6-24 Months (Regular),Near,Active,210.0,0.04,Low Risk (<30%),7-12 Months (Moderate)
2.0,8.0,5,Laptop & Accessory,1,Married,3,1,8.0,193.34,0,0-6 Months (New),Near,Active,60.0,0.01,Low Risk (<30%),0-3 Months (High Risk)
9.0,14.0,3,Laptop & Accessory,2,Married,5,0,7.0,150.79,0,6-24 Months (Regular),Moderate,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
23.0,18.0,4,Laptop & Accessory,1,Single,5,0,5.0,170.07,0,6-24 Months (Regular),Moderate,Active,690.0,0.0,Low Risk (<30%),12+ Months (Loyal)
1.0,9.0,5,Mobile Phone,1,Single,3,0,1.0,136.02,1,0-6 Months (New),Near,Active,30.0,0.91,High Risk (>70%),0-3 Months (High Risk)
0.0,14.0,3,Mobile Phone,1,Single,2,0,4.0,126.47,0,0-6 Months (New),Moderate,Active,0.0,0.19,Low Risk (<30%),0-3 Months (High Risk)
1.0,18.0,4,Laptop & Accessory,5,Divorced,3,1,4.0,172.41,0,0-6 Months (New),Moderate,Active,30.0,0.08,Low Risk (<30%),0-3 Months (High Risk)
1.0,9.0,3,Mobile Phone,4,Married,2,0,0.0,128.56,0,0-6 Months (New),Near,Active,30.0,0.12,Low Risk (<30%),0-3 Months (High Risk)
1.0,11.0,2,Laptop & Accessory,4,Married,3,1,4.0,186.42,0,0-6 Months (New),Moderate,Active,30.0,0.22,Low Risk (<30%),0-3 Months (High Risk)
8.0,9.0,5,Laptop & Accessory,5,Married,8,0,10.0,184.57,0,6-24 Months (Regular),Near,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
13.0,32.0,3,Laptop & Accessory,5,Divorced,2,0,5.0,183.96,0,6-24 Months (Regular),Far,Active,390.0,0.01,Low Risk (<30%),12+ Months (Loyal)
0.0,6.0,4,Fashion,3,Divorced,6,0,7.0,206.089999999999,1,0-6 Months (New),Near,Active,0.0,0.94,High Risk (>70%),0-3 Months (High Risk)
22.0,6.0,3,Grocery,3,Single,5,0,0.0,253.79,0,6-24 Months (Regular),Near,Active,660.0,0.0,Low Risk (<30%),12+ Months (Loyal)
17.0,14.0,4,Fashion,5,Married,10,0,3.0,224.85,0,6-24 Months (Regular),Moderate,Active,510.0,0.01,Low Risk (<30%),12+ Months (Loyal)
0.0,8.0,3,Mobile Phone,3,Married,7,1,2.0,139.77,0,0-6 Months (New),Near,Active,0.0,0.29,Low Risk (<30%),0-3 Months (High Risk)
0.0,15.0,4,Laptop & Accessory,5,Single,8,0,3.0,134.07,1,0-6 Months (New),Moderate,Active,0.0,0.92,High Risk (>70%),0-3 Months (High Risk)
21.0,14.0,3,Mobile Phone,5,Married,9,0,6.0,123.669999999999,0,6-24 Months (Regular),Moderate,Active,630.0,0.07,Low Risk (<30%),12+ Months (Loyal)
27.0,14.0,3,Laptop & Accessory,3,Single,8,0,0.0,137.8,0,24+ Months (Loyal),Moderate,Active,810.0,0.0,Low Risk (<30%),12+ Months (Loyal)
4.0,18.0,3,Others,3,Divorced,2,0,8.0,295.45,1,0-6 Months (New),Moderate,Active,120.0,0.68,Medium Risk (30-70%),4-6 Months (Mid-High)
0.0,22.0,3,Mobile Phone,4,Married,10,0,2.0,128.11,0,0-6 Months (New),Far,Active,0.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
10.0,13.0,6,Mobile Phone,3,Married,3,0,8.0,152.41,0,6-24 Months (Regular),Moderate,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
10.0,21.0,4,Laptop & Accessory,2,Divorced,2,1,12.0,190.86,0,6-24 Months (Regular),Far,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
20.0,22.0,1,Laptop & Accessory,3,Married,2,1,7.0,150.67,0,6-24 Months (Regular),Far,Active,600.0,0.04,Low Risk (<30%),12+ Months (Loyal)
11.0,16.0,4,Fashion,3,Married,1,1,7.0,187.4,0,6-24 Months (Regular),Moderate,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
0.0,8.0,1,Laptop & Accessory,3,Married,2,0,7.0,152.06,0,0-6 Months (New),Near,Active,0.0,0.01,Low Risk (<30%),0-3 Months (High Risk)
9.0,13.0,3,Mobile Phone,1,Married,2,1,2.0,122.75,1,6-24 Months (Regular),Moderate,Active,270.0,0.94,High Risk (>70%),7-12 Months (Moderate)
1.0,15.0,4,Laptop & Accessory,4,Married,3,0,8.0,187.14,0,0-6 Months (New),Moderate,Active,30.0,0.15,Low Risk (<30%),0-3 Months (High Risk)
9.0,11.0,3,Mobile Phone,4,Single,2,1,0.0,118.78,1,6-24 Months (Regular),Moderate,Active,270.0,0.96,High Risk (>70%),7-12 Months (Moderate)
1.0,26.0,4,Mobile Phone,1,Married,3,0,3.0,148.23,0,0-6 Months (New),Far,Active,30.0,0.02,Low Risk (<30%),0-3 Months (High Risk)
9.0,17.0,4,Laptop & Accessory,3,Single,5,1,5.0,186.42,0,6-24 Months (Regular),Moderate,Active,270.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
0.0,8.0,3,Mobile Phone,3,Single,7,0,1.0,143.82,1,0-6 Months (New),Near,Active,0.0,0.83,High Risk (>70%),0-3 Months (High Risk)
7.0,14.0,3,Laptop & Accessory,3,Single,4,0,3.0,161.42,0,6-24 Months (Regular),Moderate,Active,210.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
10.0,14.0,4,Mobile Phone,4,Single,4,0,4.0,145.13,0,6-24 Months (Regular),Moderate,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
24.0,9.0,4,Others,3,Divorced,4,1,8.0,317.37,0,6-24 Months (Regular),Near,Active,720.0,0.0,Low Risk (<30%),12+ Months (Loyal)
1.0,12.0,2,Mobile Phone,4,Married,3,1,3.0,148.28,0,0-6 Months (New),Moderate,Active,30.0,0.15,Low Risk (<30%),0-3 Months (High Risk)
5.0,8.0,6,Laptop & Accessory,5,Married,3,0,8.0,175.03,0,0-6 Months (New),Near,Active,150.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
9.0,16.0,3,Fashion,3,Married,4,0,7.0,170.94,0,6-24 Months (Regular),Moderate,Active,270.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
1.0,24.0,4,Mobile Phone,3,Single,3,1,8.0,148.94,1,0-6 Months (New),Far,Active,30.0,0.93,High Risk (>70%),0-3 Months (High Risk)
21.0,28.0,3,Grocery,1,Married,4,0,7.0,271.74,0,6-24 Months (Regular),Far,Active,630.0,0.01,Low Risk (<30%),12+ Months (Loyal)
21.0,11.0,5,Fashion,4,Married,10,1,3.0,228.33,0,6-24 Months (Regular),Moderate,Active,630.0,0.24,Low Risk (<30%),12+ Months (Loyal)
21.0,32.0,4,Fashion,3,Single,4,0,3.0,211.33,0,6-24 Months (Regular),Far,Active,630.0,0.0,Low Risk (<30%),12+ Months (Loyal)
9.0,12.0,1,Laptop & Accessory,5,Married,4,1,2.0,155.62,0,6-24 Months (Regular),Moderate,Active,270.0,0.03,Low Risk (<30%),7-12 Months (Moderate)
1.0,36.0,4,Mobile Phone,5,Married,3,0,3.0,164.07,0,0-6 Months (New),Far,Active,30.0,0.13,Low Risk (<30%),0-3 Months (High Risk)
10.0,27.0,3,Mobile Phone,1,Married,6,0,0.0,129.73,0,6-24 Months (Regular),Far,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
0.0,10.0,3,Mobile Phone,5,Single,2,0,0.0,129.73,1,0-6 Months (New),Near,Active,0.0,0.8,High Risk (>70%),0-3 Months (High Risk)
11.0,7.0,4,Mobile Phone,2,Single,3,0,8.0,146.15,0,6-24 Months (Regular),Near,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,12.0,5,Fashion,5,Single,4,0,9.0,241.31,0,6-24 Months (Regular),Moderate,Active,240.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
27.0,8.0,5,Grocery,3,Married,6,1,3.0,254.649999999999,0,24+ Months (Loyal),Near,Active,810.0,0.0,Low Risk (<30%),12+ Months (Loyal)
16.0,11.0,4,Laptop & Accessory,5,Single,9,0,6.0,176.55,0,6-24 Months (Regular),Moderate,Active,480.0,0.09,Low Risk (<30%),12+ Months (Loyal)
6.0,8.0,3,Laptop & Accessory,1,Married,2,0,4.0,155.05,0,0-6 Months (New),Near,Active,180.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
11.0,18.0,4,Mobile Phone,3,Single,6,0,3.0,161.29,0,6-24 Months (Regular),Moderate,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
0.0,14.0,4,Mobile Phone,5,Single,2,1,0.0,126.0,1,0-6 Months (New),Moderate,Active,0.0,0.99,High Risk (>70%),0-3 Months (High Risk)
9.0,6.0,4,Mobile Phone,3,Married,2,0,3.0,120.07,0,6-24 Months (Regular),Near,Active,270.0,0.08,Low Risk (<30%),7-12 Months (Moderate)
15.0,13.0,4,Mobile Phone,5,Single,4,1,18.0,172.21,0,6-24 Months (Regular),Moderate,Active,450.0,0.04,Low Risk (<30%),12+ Months (Loyal)
12.0,14.0,3,Mobile Phone,3,Married,2,0,7.0,137.55,0,6-24 Months (Regular),Moderate,Active,360.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
8.0,11.0,3,Fashion,4,Single,1,0,13.0,180.95,0,6-24 Months (Regular),Moderate,Active,240.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
9.0,8.0,3,Mobile Phone,4,Married,2,0,2.0,122.259999999999,0,6-24 Months (Regular),Near,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
16.0,15.0,3,Laptop & Accessory,3,Married,4,1,7.0,156.79,0,6-24 Months (Regular),Moderate,Active,480.0,0.01,Low Risk (<30%),12+ Months (Loyal)
25.0,14.0,5,Laptop & Accessory,3,Married,4,0,1.0,186.32,0,24+ Months (Loyal),Moderate,Active,750.0,0.0,Low Risk (<30%),12+ Months (Loyal)
14.0,6.0,3,Laptop & Accessory,5,Married,1,0,7.0,141.03,0,6-24 Months (Regular),Near,Active,420.0,0.0,Low Risk (<30%),12+ Months (Loyal)
3.0,27.0,4,Laptop & Accessory,2,Married,4,0,3.0,194.31,0,0-6 Months (New),Far,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
14.0,17.0,2,Mobile Phone,3,Married,5,1,8.0,147.13,0,6-24 Months (Regular),Moderate,Active,420.0,0.06,Low Risk (<30%),12+ Months (Loyal)
22.0,17.0,3,Laptop & Accessory,1,Single,4,0,4.0,145.07,0,6-24 Months (Regular),Moderate,Active,660.0,0.0,Low Risk (<30%),12+ Months (Loyal)
23.0,30.0,3,Grocery,3,Divorced,4,1,5.0,239.73,0,6-24 Months (Regular),Far,Active,690.0,0.01,Low Risk (<30%),12+ Months (Loyal)
6.0,15.0,3,Mobile Phone,2,Divorced,1,0,10.0,127.81,0,0-6 Months (New),Moderate,Active,180.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
24.0,27.0,4,Grocery,3,Married,4,1,14.0,237.45,0,6-24 Months (Regular),Far,Active,720.0,0.03,Low Risk (<30%),12+ Months (Loyal)
14.0,14.0,3,Mobile Phone,3,Divorced,10,1,7.0,124.61,1,6-24 Months (Regular),Moderate,Active,420.0,0.75,High Risk (>70%),12+ Months (Loyal)
18.0,29.0,3,Laptop & Accessory,5,Married,2,1,8.0,136.33,0,6-24 Months (Regular),Far,Active,540.0,0.03,Low Risk (<30%),12+ Months (Loyal)
1.0,25.0,4,Mobile Phone,5,Divorced,2,0,3.0,131.96,0,0-6 Months (New),Far,Active,30.0,0.01,Low Risk (<30%),0-3 Months (High Risk)
10.0,16.0,2,Mobile Phone,4,Married,3,0,3.0,153.1,0,6-24 Months (Regular),Moderate,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
9.0,11.0,3,Fashion,5,Married,5,0,2.0,180.08,0,6-24 Months (Regular),Moderate,Active,270.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
0.0,13.0,1,Mobile Phone,5,Single,1,0,7.0,135.78,0,0-6 Months (New),Moderate,Active,0.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
